표번호,구분_대분류,구분_소분류,사례수,1순위_맛집탐방,1순위_전통문화체험(템플스테이등),1순위_자연풍경감상,1순위_레저·스포츠활동,1순위_공연/축제/이벤트참여,1순위_영화/드라마촬영지방문,1순위_역사·문화유적탐방,1순위_박물관/테마공원방문,1순위_산/해변길/둘레길/트레킹,1순위_유흥/오락,1순위_회의/업무/컨벤션/세미나참가,1순위_쇼핑,1순위_치료·미용서비스,1순위_종교/순례활동,1순위_해양활동(해수욕등),1순위_기타,종합_맛집탐방,종합_레저·스포츠활동,종합_자연풍경감상,종합_영화/드라마촬영지방문,종합_역사·문화유적탐방,종합_전통문화체험(템플스테이등),종합_공연/축제/이벤트참여,종합_쇼핑,종합_산/해변길/둘레길/트레킹,종합_박물관/테마공원방문,종합_회의/업무/컨벤션/세미나참가,종합_유흥/오락,종합_종교/순례활동,종합_해양활동(해수욕등),종합_치료·미용서비스,종합_기타
,전체,전체,1060,45.7,8.9,7.8,6.8,6.8,6,4.2,2.9,2.5,1.9,1.7,1.4,1.2,1.2,0.8,0.1,64.8,39.4,39.2,22.7,20.8,20.2,19.4,19,11,9.2,7.6,7.1,5.4,4.6,3.9,0.1
,성별,남성,471,46.5,8.3,7.6,6.4,5.5,6.4,4,3.4,3.2,2.1,1.7,1.7,1.1,1.3,0.8,0,66.2,42.3,39.5,23.4,19.1,18.7,18.3,19.1,10.4,10.4,6.8,7.6,5.3,4.5,1.9,0
,성별,여성,589,45,9.3,8,7.1,7.8,5.8,4.4,2.5,2,1.7,1.7,1.2,1.4,1.2,0.7,0.2,63.7,37.2,38.9,22.2,22.1,21.4,20.4,18.8,11.5,8.3,8.3,6.6,5.4,4.8,5.4,0.2
,연령,15~19세,4,0,25,25,0,25,0,0,0,0,0,0,25,0,0,0,0,75,25,25,25,0,25,25,50,0,0,0,25,0,0,0,0
,연령,20대,338,58.9,7.1,5.6,3.8,3.8,6.2,1.8,2.7,1.5,2.7,0.9,2.4,1.2,0.6,0.6,0.3,74.6,47.6,43.8,24,16.6,17.8,14.2,20.4,7.7,6.2,5.6,5,2.7,3.3,3.8,0.3
,연령,30대,560,41.4,9.8,7.5,7.9,8.2,5.2,5.5,3,2.7,2,2.1,0.5,1.3,1.8,1.1,0,62.1,37.7,37.3,21.4,23,20.9,21.6,17.3,12.7,10.2,7.9,6.6,6.6,5.5,3.8,0
,연령,40대,128,32,8.6,13.3,10.2,8.6,8.6,5.5,3.9,3.1,0,2.3,2.3,1.6,0,0,0,53.1,29.7,37.5,25,22.7,22.7,21.9,23.4,10.9,12.5,11.7,9.4,7,4.7,3.1,0
,연령,50대,28,35.7,10.7,14.3,7.1,3.6,10.7,3.6,0,10.7,0,0,0,0,3.6,0,0,50,25,28.6,25,17.9,25,28.6,10.7,21.4,14.3,10.7,28.6,7.1,0,7.1,0
,연령,60세 이상,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,0,50,0,0,0,0,0,0,0,0,50,50,0
,국적,일본,102,45.1,14.7,6.9,3.9,5.9,7.8,2.9,0,3.9,2,0,5.9,0,0,0,1,68.6,25.5,44.1,28.4,18.6,25.5,19.6,27.5,11.8,2.9,2.9,4.9,2.9,5.9,2.9,1
,국적,중국,88,50,8,12.5,8,5.7,3.4,6.8,0,2.3,0,1.1,1.1,1.1,0,0,0,72.7,44.3,39.8,22.7,22.7,17,18.2,22.7,8,6.8,4.5,5.7,4.5,1.1,1.1,0
,국적,대만,107,43,6.5,5.6,12.1,6.5,4.7,2.8,5.6,3.7,1.9,0,1.9,2.8,2.8,0,0,59.8,43,43.9,17.8,20.6,19.6,22.4,15,10.3,13.1,3.7,8.4,11.2,6.5,3.7,0
,국적,홍콩,34,41.2,11.8,5.9,11.8,8.8,8.8,2.9,2.9,0,0,0,0,2.9,0,2.9,0,64.7,38.2,47.1,17.6,23.5,26.5,20.6,14.7,14.7,8.8,2.9,8.8,0,5.9,5.9,0
,국적,태국,43,53.5,4.7,4.7,2.3,4.7,9.3,0,9.3,2.3,4.7,0,2.3,0,2.3,0,0,65.1,48.8,37.2,18.6,20.9,23.3,18.6,9.3,4.7,16.3,4.7,14,2.3,4.7,4.7,0
,국적,싱가포르,44,47.7,0,4.5,6.8,4.5,9.1,4.5,4.5,6.8,4.5,0,2.3,2.3,0,2.3,0,54.5,52.3,40.9,27.3,25,6.8,20.5,13.6,13.6,11.4,6.8,9.1,0,9.1,6.8,0
,국적,말레이시아,38,39.5,7.9,10.5,7.9,2.6,13.2,5.3,7.9,0,0,0,0,0,5.3,0,0,65.8,44.7,39.5,21.1,18.4,26.3,10.5,13.2,7.9,15.8,7.9,5.3,13.2,5.3,2.6,0
,국적,필리핀,57,56.1,7,5.3,3.5,5.3,3.5,3.5,3.5,5.3,1.8,1.8,1.8,0,0,1.8,0,63.2,33.3,42.1,24.6,12.3,14,12.3,28.1,14,12.3,8.8,8.8,5.3,7,1.8,0
,국적,베트남,56,46.4,1.8,5.4,10.7,10.7,10.7,8.9,1.8,0,0,0,1.8,1.8,0,0,0,62.5,44.6,37.5,26.8,23.2,8.9,16.1,23.2,14.3,5.4,16.1,1.8,5.4,3.6,5.4,0
,국적,인도네시아,44,45.5,6.8,9.1,4.5,11.4,9.1,0,2.3,0,4.5,0,0,0,2.3,4.5,0,68.2,34.1,40.9,29.5,6.8,18.2,22.7,15.9,2.3,9.1,15.9,11.4,6.8,4.5,2.3,0
,국적,인도,34,47.1,11.8,0,8.8,5.9,11.8,5.9,0,0,2.9,2.9,0,0,2.9,0,0,79.4,35.3,23.5,26.5,20.6,35.3,14.7,20.6,17.6,0,2.9,8.8,11.8,0,2.9,0
,국적,미국,78,41,15.4,5.1,10.3,5.1,0,6.4,2.6,2.6,2.6,6.4,0,1.3,1.3,0,0,62.8,38.5,30.8,19.2,23.1,28.2,19.2,17.9,9,10.3,11.5,6.4,2.6,5.1,2.6,0
,국적,캐나다,38,47.4,13.2,13.2,2.6,5.3,2.6,2.6,7.9,0,0,2.6,0,0,0,2.6,0,55.3,39.5,39.5,21.1,23.7,18.4,28.9,10.5,13.2,15.8,5.3,10.5,0,5.3,5.3,0
,국적,영국,38,39.5,5.3,10.5,0,5.3,10.5,5.3,2.6,2.6,2.6,7.9,0,5.3,0,2.6,0,63.2,28.9,39.5,23.7,31.6,21.1,15.8,7.9,15.8,13.2,10.5,5.3,2.6,10.5,10.5,0
,국적,호주,41,41.5,7.3,12.2,12.2,4.9,4.9,2.4,4.9,2.4,2.4,0,2.4,0,2.4,0,0,58.5,51.2,34.1,24.4,24.4,9.8,12.2,24.4,14.6,12.2,12.2,4.9,7.3,2.4,4.9,0
,국적,프랑스,34,38.2,5.9,14.7,5.9,14.7,5.9,5.9,2.9,2.9,0,2.9,0,0,0,0,0,61.8,41.2,44.1,14.7,20.6,17.6,17.6,32.4,8.8,2.9,17.6,11.8,5.9,0,2.9,0
,국적,독일,42,42.9,7.1,9.5,11.9,9.5,4.8,2.4,0,2.4,0,4.8,0,0,2.4,2.4,0,64.3,57.1,28.6,26.2,16.7,16.7,31,11.9,11.9,7.1,9.5,4.8,4.8,2.4,0,0
,국적,러시아,28,50,7.1,14.3,0,7.1,3.6,10.7,0,0,3.6,0,0,0,3.6,0,0,67.9,35.7,46.4,21.4,21.4,10.7,25,21.4,10.7,3.6,7.1,10.7,3.6,7.1,7.1,0
,국적,그 외 국가,114,47.4,13.2,7,2.6,7.9,3.5,3.5,1.8,3.5,2.6,2.6,0.9,2.6,0.9,0,0,67.5,32.5,38.6,21.1,21.9,26.3,21.1,18.4,11.4,9.6,6.1,4.4,7,2.6,5.3,0
,방문 횟수,처음 방문,683,48.5,6,7.8,6.6,7.3,5,4.4,2.9,2.6,1.9,1.8,1.5,1.5,1.3,0.9,0.1,66.9,42.6,40.1,21.1,19.9,17,19.5,18.3,10.7,9.5,7.2,7.3,5.4,4.5,4.1,0.1
,방문 횟수,2회,282,40.8,11.3,8.2,7.1,5.7,8.5,4.6,3.9,2.5,1.1,1.8,1.4,1.1,1.4,0.7,0,60.6,37.2,36.5,24.5,23,24.1,19.1,20.6,11.3,11,8.5,4.6,6.7,3.9,3.2,0
,방문 횟수,3~4회,82,40.2,24.4,3.7,8.5,6.1,7.3,1.2,0,2.4,3.7,1.2,1.2,0,0,0,0,64.6,26.8,34.1,34.1,19.5,35.4,15.9,19.5,12.2,2.4,8.5,8.5,1.2,6.1,3.7,0
,방문 횟수,5회 이상,13,38.5,7.7,30.8,0,7.7,0,7.7,0,0,7.7,0,0,0,0,0,0,46.2,0,76.9,0,23.1,7.7,46.2,15.4,15.4,0,7.7,38.5,0,15.4,7.7,0
